ACCTAGE,AGE,ATM,ATMAMT,BRANCH,CASHBK,CC,CCBAL,CCPURC,CD,CDBAL,CHECKS,CRSCORE,DDA,DDABAL,DEP,DEPAMT,DIRDEP,HMOWN,HMVAL,ILS,ILSBAL,INAREA,INCOME,INV,INVBAL,IRA,IRABAL,LOC,LOCBAL,LORES,MM,MMBAL,MMCRED,MOVED,MTG,MTGBAL,NSF,NSFAMT,PHONE,POS,POSAMT,RES,SAV,SAVBAL,SDB,TELLER,id,INS
25.3,27.0,0.0,0.0,B3,0.0,1.0,891.96,0.0,0.0,0.0,0.0,646.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,0.0,0.0,0.0,0.0,3098,1.0
4.3,64.0,1.0,9986.04,B5,0.0,1.0,10799.25,0.0,0.0,0.0,5.0,622.0,1.0,5492.44,3.0,2282.41,0.0,1.0,112.0,1.0,10383.82,1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,286.96,S,1.0,1761.16,0.0,2.0,9937,1.0
4.7,29.0,1.0,1073.09,B17,0.0,0.0,0.0,0.0,0.0,0.0,9.0,593.0,1.0,43.53,8.0,1120.85,0.0,1.0,153.0,0.0,0.0,1.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,R,0.0,0.0,0.0,3.0,6517,0.0
4.0,46.0,0.0,0.0,B6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,636.0,1.0,88.72,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,0.0,0.0,0.0,0.0,1708,0.0
25.2,40.0,0.0,0.0,B13,0.0,1.0,1269.86,0.0,0.0,0.0,0.0,667.0,1.0,324.42,1.0,74.06,0.0,0.0,121.0,0.0,0.0,1.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,0.0,0.0,0.0,2.0,8722,0.0
3.1,64.0,1.0,5657.27,B4,0.0,1.0,210568.42,0.0,0.0,0.0,11.0,698.0,1.0,7529.14,2.0,5848.88,0.0,1.0,112.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,1.0,14595.83,14.5,0.0,0.0,0.0,0.0,1.0,195814.49,0.0,0.0,0.0,0.0,0.0,U,0.0,0.0,0.0,2.0,7041,1.0
5.1,,1.0,1152.71,B2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,674.0,1.0,2533.31,1.0,1052.8,0.0,,,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,0.0,0.0,0.0,1.0,465,0.0
4.3,67.0,1.0,1233.64,B2,0.0,1.0,38666.19,0.0,0.0,0.0,3.0,666.0,1.0,331.19,8.0,1481.21,1.0,1.0,93.0,1.0,9989.75,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,0.0,0.0,0.0,4.0,9547,0.0
3.7,49.0,1.0,1047.24,B3,0.0,0.0,0.0,0.0,0.0,0.0,17.0,694.0,1.0,499.0,4.0,3789.3,1.0,1.0,85.0,0.0,0.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,0.0,0.0,0.0,2.0,10560,0.0
5.5,,0.0,0.0,B2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,682.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,15180.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,0.0,0.0,0.0,0.0,10495,1.0
3.3,25.0,0.0,0.0,B8,0.0,1.0,108.01,1.0,0.0,0.0,12.0,628.0,1.0,912.25,3.0,1764.0,0.0,1.0,122.0,0.0,0.0,1.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,15353.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,1.0,2732.13,0.0,3.0,6762,1.0
0.5,50.0,0.0,0.0,B1,0.0,1.0,1637.11,1.0,0.0,0.0,0.0,659.0,1.0,55.82,2.0,273.29,0.0,0.0,99.0,1.0,10005.04,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,73.15,R,0.0,0.0,0.0,2.0,6381,0.0
4.7,,0.0,0.0,B15,0.0,,,,0.0,0.0,4.0,632.0,1.0,419.35,3.0,1111.63,1.0,,,0.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,U,1.0,3806.2,1.0,3.0,5545,0.0
2.6,29.0,1.0,2138.36,B14,0.0,,,,0.0,0.0,2.0,653.0,1.0,407.46,2.0,1072.69,0.0,1.0,72.0,0.0,0.0,1.0,3.0,,,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,R,1.0,443.76,0.0,0.0,3625,0.0
7.0,24.0,0.0,0.0,B14,0.0,,,,0.0,0.0,5.0,629.0,1.0,267.88,1.0,1247.87,1.0,0.0,118.0,0.0,0.0,1.0,50.0,,,0.0,0.0,0.0,0.0,3.5,1.0,15302.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,S,0.0,0.0,0.0,0.0,2168,0.0
3.8,,1.0,1525.12,B2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,655.0,1.0,464.37,4.0,1020.99,0.0,,,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,U,1.0,0.0,0.0,0.0,2707,0.0
4.4,43.0,0.0,0.0,B2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,686.0,1.0,687.46,2.0,936.6,1.0,1.0,95.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,0.0,0.0,0.0,2.0,553,0.0
8.1,34.0,1.0,464.94,B17,0.0,0.0,0.0,0.0,1.0,6600.0,1.0,657.0,1.0,33.07,4.0,390.5,0.0,0.0,97.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,93.8,U,0.0,0.0,0.0,2.0,7045,0.0
7.5,65.0,0.0,0.0,B15,0.0,,,,0.0,0.0,1.0,653.0,1.0,2644.22,1.0,715.34,0.0,0.0,93.0,0.0,0.0,1.0,16.0,,,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,R,0.0,0.0,0.0,0.0,5484,0.0
,,0.0,0.0,B2,0.0,1.0,0.0,0.0,1.0,27600.0,5.0,612.0,1.0,5970.12,1.0,865.15,1.0,,,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,19104.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,0.0,0.0,0.0,0.0,1957,1.0
0.8,29.0,1.0,2255.51,B3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,577.0,1.0,1212.18,3.0,4292.77,0.0,0.0,96.0,0.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.32,2.0,0.0,0.0,U,1.0,0.02,0.0,4.0,8415,0.0
0.3,34.0,0.0,0.0,B3,0.0,1.0,8043.83,1.0,0.0,0.0,0.0,627.0,0.0,0.0,0.0,0.0,0.0,1.0,122.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,1.0,15159.91,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,0.0,0.0,0.0,0.0,7603,1.0
,38.0,1.0,648.58,B4,0.0,1.0,1018.31,1.0,0.0,0.0,4.0,636.0,1.0,253.33,2.0,2099.91,1.0,1.0,90.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,16.52,R,1.0,23.18,0.0,1.0,1159,1.0
1.3,17.0,0.0,0.0,B6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,645.0,1.0,647.69,2.0,732.87,0.0,0.0,111.0,0.0,0.0,1.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,1.0,636.45,0.0,4.0,4270,1.0
0.5,40.0,0.0,0.0,B4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,602.0,0.0,0.0,0.0,0.0,0.0,1.0,83.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,0.0,0.0,0.0,0.0,8554,1.0
0.3,25.0,0.0,0.0,B18,0.0,,,,0.0,0.0,0.0,613.0,0.0,0.0,0.0,0.0,0.0,1.0,148.0,0.0,0.0,1.0,140.0,,,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,S,0.0,0.0,0.0,0.0,9579,1.0
4.9,50.0,1.0,939.07,B3,0.0,0.0,0.0,0.0,0.0,0.0,12.0,640.0,1.0,4070.53,3.0,2125.97,1.0,1.0,99.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.84,0.0,1.0,21.61,U,1.0,3595.34,0.0,0.0,9702,0.0
3.8,57.0,1.0,166.21,B13,1.0,0.0,0.0,0.0,0.0,0.0,7.0,596.0,1.0,296.41,4.0,1755.09,1.0,1.0,91.0,0.0,0.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,610.77,R,0.0,0.0,0.0,1.0,6991,0.0
0.3,45.0,0.0,0.0,B18,0.0,,,,0.0,0.0,2.0,611.0,1.0,715.99,2.0,846.22,0.0,0.0,116.0,0.0,0.0,1.0,24.0,,,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,R,0.0,0.0,1.0,2.0,521,0.0
6.1,48.0,1.0,166.47,B4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,682.0,0.0,0.0,0.0,0.0,0.0,1.0,83.0,0.0,0.0,1.0,10.0,1.0,779464.96,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,1.0,38178.91,0.0,0.0,5471,1.0
1.1,36.0,0.0,0.0,B7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,631.0,1.0,9363.0,3.0,3282.67,0.0,1.0,113.0,0.0,0.0,1.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,1.0,699.02,0.0,8.0,5198,1.0
6.1,28.0,0.0,0.0,B3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,647.0,1.0,597.11,2.0,629.04,1.0,0.0,142.0,0.0,0.0,1.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,0.0,0.0,0.0,0.0,7739,0.0
,32.0,0.0,0.0,B3,0.0,1.0,9767.93,2.0,0.0,0.0,0.0,642.0,0.0,0.0,0.0,0.0,0.0,1.0,115.0,0.0,0.0,1.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,1.0,15250.67,1.0,0.0,1.0,10438.43,0.0,0.0,0.0,0.0,0.0,S,0.0,0.0,0.0,0.0,2979,0.0
3.6,41.0,1.0,305.0,B13,0.0,1.0,183.37,0.0,0.0,0.0,6.0,697.0,1.0,1594.03,3.0,4354.09,1.0,1.0,98.0,0.0,0.0,1.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,0.0,0.0,1.0,0.0,8568,0.0
3.8,32.0,1.0,3346.07,B6,0.0,0.0,0.0,0.0,0.0,0.0,7.0,659.0,1.0,3601.35,3.0,1737.25,0.0,0.0,109.0,0.0,0.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,S,1.0,1376.58,0.0,0.0,7209,1.0
3.3,41.0,1.0,550.16,B4,1.0,0.0,0.0,0.0,0.0,0.0,2.0,680.0,1.0,141.28,5.0,540.89,1.0,0.0,104.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,17.23,R,1.0,12.89,0.0,1.0,10418,0.0
2.9,,1.0,1829.72,B2,0.0,0.0,0.0,0.0,0.0,0.0,6.0,681.0,1.0,129.88,3.0,1299.52,0.0,,,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,229.16,R,0.0,0.0,0.0,0.0,3639,0.0
5.8,68.0,1.0,3394.51,B18,0.0,,,,0.0,0.0,8.0,623.0,1.0,1175.58,5.0,3297.83,0.0,0.0,115.0,0.0,0.0,1.0,59.0,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,U,1.0,821.72,0.0,1.0,2090,0.0
13.3,44.0,1.0,1460.4,B16,0.0,1.0,331.65,0.0,0.0,0.0,5.0,693.0,1.0,3618.32,2.0,2228.99,1.0,1.0,89.0,0.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,0.0,0.0,0.0,0.0,7839,1.0
1.2,36.0,0.0,0.0,B4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,657.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0,1.0,50.0,0.0,0.0,1.0,1733.51,0.0,0.0,4.0,1.0,14849.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,0.0,0.0,0.0,0.0,2731,1.0
3.3,38.0,0.0,0.0,B15,0.0,,,,0.0,0.0,2.0,728.0,1.0,520.62,1.0,52.75,0.0,0.0,99.0,0.0,0.0,1.0,10.0,,,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,U,1.0,3128.87,0.0,0.0,10051,0.0
1.2,85.0,1.0,80.98,B15,0.0,,,,0.0,0.0,8.0,721.0,1.0,1507.85,3.0,3098.06,1.0,1.0,81.0,0.0,0.0,1.0,9.0,,,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,R,1.0,7344.79,0.0,1.0,7288,0.0
6.8,41.0,1.0,1145.44,B16,0.0,0.0,0.0,0.0,0.0,0.0,3.0,694.0,1.0,856.55,3.0,1967.72,1.0,0.0,104.0,0.0,0.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1.0,161.85,0.0,0.0,6541,0.0
1.0,,0.0,0.0,B5,0.0,1.0,206667.71,0.0,0.0,0.0,0.0,728.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,216119.64,0.0,0.0,0.0,0.0,0.0,S,0.0,0.0,0.0,0.0,5274,0.0
0.3,,1.0,530.06,B19,0.0,,,,0.0,0.0,1.0,719.0,1.0,473.3,2.0,1134.31,0.0,,,0.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,U,0.0,0.0,1.0,1.0,3150,0.0
4.9,,1.0,69.67,B2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,658.0,1.0,3101.94,2.0,2753.7,0.0,,,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,0.0,0.0,0.0,4.0,3470,0.0
,65.0,1.0,1365.79,B1,0.0,1.0,2365.71,0.0,0.0,0.0,15.0,723.0,1.0,1018.39,3.0,6169.93,0.0,1.0,127.0,0.0,0.0,1.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,U,0.0,0.0,0.0,3.0,4281,1.0
1.6,,1.0,2293.0,B13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,1.0,609.0,0.0,0.0,9975,0.0
6.9,31.0,1.0,1344.82,B16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570.0,0.0,0.0,0.0,0.0,0.0,1.0,92.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,12613.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,283.33,R,1.0,17063.76,0.0,0.0,9944,0.0
8.5,50.0,1.0,2626.25,B3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,661.0,1.0,836.38,4.0,1929.08,0.0,1.0,96.0,0.0,0.0,1.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,91.53,S,0.0,0.0,0.0,4.0,4568,0.0
7.3,63.0,1.0,1540.86,B2,0.0,0.0,0.0,0.0,0.0,0.0,8.0,727.0,1.0,3191.06,3.0,2735.1,0.0,1.0,103.0,0.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,116.95,S,0.0,0.0,0.0,0.0,4286,0.0
2.0,60.0,0.0,0.0,B1,0.0,1.0,157.92,1.0,1.0,120000.0,4.0,733.0,1.0,4870.74,1.0,10758.73,0.0,1.0,92.0,0.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,17386.15,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,1.0,8476.7,1.0,5.0,4227,1.0
5.0,54.0,0.0,0.0,B16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,1.0,6.51,1.0,12.78,0.0,1.0,90.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1.0,43.37,0.0,0.0,7706,0.0
0.8,69.0,1.0,1764.52,B3,0.0,1.0,1066.74,0.0,0.0,0.0,3.0,681.0,1.0,275.3,3.0,1043.22,0.0,0.0,100.0,0.0,0.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,S,0.0,0.0,0.0,1.0,1776,0.0
5.7,51.0,1.0,7882.2,B4,0.0,1.0,161.66,0.0,0.0,0.0,6.0,609.0,1.0,6995.54,3.0,3058.78,0.0,0.0,122.0,0.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,1.0,20180.75,0.0,1.0,5066,1.0
4.8,51.0,1.0,3969.37,B4,0.0,0.0,0.0,0.0,1.0,7500.0,11.0,630.0,1.0,520.9,2.0,3456.98,0.0,1.0,85.0,0.0,0.0,1.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.77,0.0,0.0,0.0,S,0.0,0.0,0.0,0.0,5921,0.0
1.9,,1.0,1617.62,B4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,646.0,1.0,145.59,1.0,320.94,0.0,,,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,1.0,464.29,0.0,0.0,8039,1.0
15.4,72.0,0.0,0.0,B14,0.0,,,,0.0,0.0,0.0,615.0,1.0,589.19,1.0,224.81,0.0,0.0,142.0,0.0,0.0,1.0,102.0,,,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,S,0.0,0.0,1.0,0.0,9307,0.0
2.8,27.0,0.0,0.0,B4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,679.0,1.0,1.51,0.0,0.0,0.0,0.0,137.0,0.0,0.0,1.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,0.0,0.0,0.0,0.0,266,0.0
4.3,51.0,1.0,1027.66,B3,0.0,1.0,462.29,0.0,0.0,0.0,2.0,693.0,1.0,775.48,2.0,1100.61,0.0,1.0,95.0,0.0,0.0,1.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,15710.43,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,0.0,0.0,0.0,0.0,4120,0.0
13.8,23.0,0.0,0.0,B8,0.0,1.0,119.2,0.0,0.0,0.0,8.0,686.0,1.0,52.64,3.0,1419.35,1.0,0.0,98.0,0.0,0.0,1.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,1.0,588.52,0.0,1.0,6682,0.0
4.0,,0.0,0.0,B15,0.0,,,,0.0,0.0,1.0,726.0,1.0,2795.68,2.0,14029.64,0.0,,,0.0,0.0,1.0,,,,0.0,0.0,1.0,27490.9,,1.0,17011.87,1.0,0.0,0.0,0.0,0.0,0.0,,,,R,0.0,0.0,0.0,4.0,2563,0.0
